Tên vật phẩm,Bản đồ,Hình ảnh,Tốc độ di chuyển,Máu,Tỉ lệ chí mạng,Sát thương phép,Năng lượng,Giáp,Kháng phép,Sát thương vật lý,Tốc độ đánh,Hút máu,Hồi máu,Tỉ lệ tốc độ di chuyển,Giá nâng cấp,Giá mua,Giá bán,Giá trị chỉ số,Hiệu quả,Chỉ số
Giày,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1001.png,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,210,217.39130434782606,0.7246376811594202,"Tốc độ di chuyển: 25.0 
"
Giày,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1001.png,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,210,217.39130434782606,0.7246376811594202,"Tốc độ di chuyển: 25.0 
"
Giày,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1001.png,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,210,217.39130434782606,0.7246376811594202,"Tốc độ di chuyển: 25.0 
"
Bùa Tiên,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1004.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,250,175,0.0,0.0,
Bùa Tiên,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1004.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,250,175,0.0,0.0,
Bùa Tiên,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1004.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,250,175,0.0,0.0,
Ngọc Lục Bảo,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1006.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,120,0.0,0.0,
Ngọc Lục Bảo,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1006.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,120,0.0,0.0,
Ngọc Lục Bảo,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1006.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,120,0.0,0.0,
Đai Khổng Lồ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1011.png,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,900,630,560.0,0.6222222222222222,"Máu: 350.0 
"
Đai Khổng Lồ,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1011.png,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,900,630,560.0,0.6222222222222222,"Máu: 350.0 
"
Đai Khổng Lồ,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1011.png,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,900,630,560.0,0.6222222222222222,"Máu: 350.0 
"
Áo Choàng Tím,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1018.png,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,600,420,600.0,1.0,"Tỉ lệ chí mạng: 0.15 
"
Áo Choàng Tím,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1018.png,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,600,420,600.0,1.0,"Tỉ lệ chí mạng: 0.15 
"
Áo Choàng Tím,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1018.png,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,600,420,600.0,1.0,"Tỉ lệ chí mạng: 0.15 
"
Gậy Bùng Nổ,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1026.png,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,850,595,400.0,0.47058823529411764,"Sát thương phép: 40.0 
"
Gậy Bùng Nổ,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1026.png,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,850,595,400.0,0.47058823529411764,"Sát thương phép: 40.0 
"
Gậy Bùng Nổ,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1026.png,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,850,595,400.0,0.47058823529411764,"Sát thương phép: 40.0 
"
Lam Ngọc,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1027.png,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,245,350.0,1.0,"Năng lượng: 250.0 
"
Lam Ngọc,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1027.png,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,245,350.0,1.0,"Năng lượng: 250.0 
"
Lam Ngọc,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1027.png,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,245,350.0,1.0,"Năng lượng: 250.0 
"
Hồng Ngọc,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1028.png,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,400,280,240.0,0.6,"Máu: 150.0 
"
Hồng Ngọc,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1028.png,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,400,280,240.0,0.6,"Máu: 150.0 
"
Hồng Ngọc,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1028.png,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400,400,280,240.0,0.6,"Máu: 150.0 
"
Giáp Lụa,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1029.png,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,210,300.0,1.0,"Giáp: 15.0 
"
Giáp Lụa,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1029.png,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,210,300.0,1.0,"Giáp: 15.0 
"
Giáp Lụa,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1029.png,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,300,300,210,300.0,1.0,"Giáp: 15.0 
"
Giáp Lưới,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1031.png,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,500,800,560,800.0,1.0,"Giáp: 40.0 
"
Giáp Lưới,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1031.png,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,500,800,560,800.0,1.0,"Giáp: 40.0 
"
Giáp Lưới,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1031.png,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,500,800,560,800.0,1.0,"Giáp: 40.0 
"
Áo Vải,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1033.png,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,450,450,315,450.0,1.0,"Kháng phép: 25.0 
"
Áo Vải,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1033.png,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,450,450,315,450.0,1.0,"Kháng phép: 25.0 
"
Áo Vải,Đột Kích Nhà Chính,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1033.png,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,450,450,315,450.0,1.0,"Kháng phép: 25.0 
"
Dao Găm Nham Thạch,,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1035.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,350,140,0.0,0.0,
Kiếm Dài,Summoner's Rift,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1036.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,350,350,245,200.0,0.5714285714285714,"Sát thương vật lý: 10.0 
"
Kiếm Dài,Vực Gió Hú,https://ddragon.leagueoflegends.com/cdn/13.11.1/img/item/1036.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,350,350,245,200.0,0.5714285714285714,"Sát thương vật lý: 10.0 
"
